避難收容處所名稱,縣市及鄉鎮市區,村里,避難收容處所地址,預計收容人數,室內,室外,經度,緯度,mean_elevation,max_slope,std_elevation,fusion_class,fusion_label,flood_confidence
明廉國小,花蓮縣花蓮市,國富里,中山路903號,51,是,否,121.5947,23.995,16.951265967458166,6.249574184417725,2.0924203179079397,9,無淹水(SAR無資料),low
"慈濟大學附設國民中學,小學",花蓮縣花蓮市,國興里,介仁街176號,344,是,否,121.5746,23.997,41.80284764576543,11.679359436035156,3.5314974812682687,9,無淹水(SAR無資料),low
美崙國中,花蓮縣花蓮市,民孝里,化道路40巷1號,193,是,否,121.6277,23.9978,22.39178388587804,20.77996635437012,5.956951399772707,9,無淹水(SAR無資料),low
自強國中,花蓮縣花蓮市,國裕里,裕祥路89號,330,是,否,121.5991,23.9979,13.655917221755477,22.96947288513184,1.650705181774146,9,無淹水(SAR無資料),low
花蓮高工,花蓮縣花蓮市,民意里,府前路27號,310,是,否,121.6199,23.9987,28.14468065085433,31.760955810546875,6.629473703793932,9,無淹水(SAR無資料),low
慈濟大學人文社會學院,花蓮縣花蓮市,國興里,介仁街67號,316,是,否,121.5734,23.9997,43.06624617688624,16.944440841674805,4.116002046718174,9,無淹水(SAR無資料),low
私立四維高級中學,花蓮縣花蓮市,國慶里,中山路1段200號,500,是,否,121.5916,24.0004,19.46583715395163,7.01406717300415,2.855023895661512,9,無淹水(SAR無資料),low
行政院國軍退除役官兵輔導委員會花,花蓮縣花蓮市,民意里,府前路29號,10,是,否,121.6182,24.0017,20.665541373429186,31.1400089263916,7.1170484089673325,9,無淹水(SAR無資料),low
民孝社區活動中心,花蓮縣花蓮市,民孝里,林園一街16號,54,是,否,121.631,24.0022,15.054856837876637,23.296314239501957,7.109993283731048,9,無淹水(SAR無資料),low
衛生福利部東區老人之家養護院區,花蓮縣新城鄉,嘉新村,嘉南路2巷13號,180,是,否,121.6142,24.0035,12.588865142924185,28.219148635864254,4.821059570536891,9,無淹水(SAR無資料),low
水源收容所,花蓮縣秀林鄉,水源村,107號,60,是,否,121.554,24.0038,97.91446930437672,38.96900177001953,34.13486797740077,9,無淹水(SAR無資料),low
大陳二村活動中心,花蓮縣花蓮市,民意里,民光483-1號,63,是,否,121.6168,24.0039,15.679923638792484,22.57906723022461,5.619764127680546,9,無淹水(SAR無資料),low
花蓮縣立體育場,花蓮縣花蓮市,國慶里,達固湖灣大路23號,527,是,否,121.582,24.004,29.629400099117746,12.545814514160156,4.769797638419165,9,無淹水(SAR無資料),low
嘉新社區活動中心,花蓮縣新城鄉,嘉新村,6鄰嘉南一街43巷5號,71,是,否,121.6123,24.0055,10.553095359695256,18.33816337585449,1.8908720437276207,9,無淹水(SAR無資料),low
花蓮港天宮,花蓮縣花蓮市,國慶里,中山路1段500巷15號,300,是,否,121.5872,24.0076,21.574915604945037,9.956552505493164,3.063577436446581,9,無淹水(SAR無資料),low
國福社區活動中心,花蓮縣花蓮市,國福里,沙基拉雅街111號,35,是,否,121.5819,24.0104,24.863680444730065,9.956552505493164,3.0309614690886977,9,無淹水(SAR無資料),low
佳林社區活動中心,花蓮縣新城鄉,佳林村,民有2街29號,36,是,否,121.6023,24.0211,13.392623038899169,20.70766830444336,3.0683862645147406,9,無淹水(SAR無資料),low
國軍805醫院,花蓮縣新城鄉,嘉里村,嘉里路163號,100,是,否,121.6074,24.0244,15.048891730401076,11.097494125366213,2.086045075465526,9,無淹水(SAR無資料),low
七星潭社區活動中心,花蓮縣新城鄉,大漢村,明潭街27號,27,是,否,121.6298,24.0271,17.134882584964796,89.9505386352539,11.921133269941862,9,無淹水(SAR無資料),low
基督教芥菜種會,花蓮縣新城鄉,北埔村,北埔路13號,41,是,否,121.6062,24.0275,15.91479856246956,11.097494125366213,2.040009244247724,9,無淹水(SAR無資料),low
北埔社區活動中心,花蓮縣新城鄉,北埔村,北埔路259號,35,是,否,121.6032,24.0341,18.40573471468322,10.310757637023926,1.653674592232177,9,無淹水(SAR無資料),low
大漢社區活動中心,花蓮縣新城鄉,大漢村,19鄰民有街101號,70,是,否,121.61,24.0368,16.714987252939117,5.757094860076904,0.9928213633767168,9,無淹水(SAR無資料),low
復興南營區,花蓮縣新城鄉,大漢村,民有街2號,120,是,否,121.6119,24.038,16.317907092886472,5.757094860076904,0.9585528052916104,9,無淹水(SAR無資料),low
新城鄉立圖書館,花蓮縣新城鄉,大漢村,光復路572號,58,是,否,121.6042,24.0399,20.084462564208952,5.4216718673706055,1.705347499886436,9,無淹水(SAR無資料),low
新城鄉原住民文化館,花蓮縣新城鄉,大漢村,大安街1號,90,是,否,121.6048,24.0405,19.945362618556427,5.0350847244262695,1.6759095207881132,9,無淹水(SAR無資料),low
樹林腳社區活動中心,花蓮縣新城鄉,北埔村,樹林街57巷9號,39,是,否,121.597687,24.040698,23.67974947956686,15.531396865844728,2.7414888820790906,9,無淹水(SAR無資料),low
康樂社區活動中心,花蓮縣新城鄉,康樂村,廣安1街112號,30,是,否,121.609904,24.053809,18.581362235789395,15.25017547607422,1.6879824837265158,9,無淹水(SAR無資料),low
佳民國小收容所,花蓮縣秀林鄉,佳民村,119號,60,是,否,121.5994,24.0539,29.34205313771202,10.30404281616211,6.501046415842587,9,無淹水(SAR無資料),low
景美活動中心,花蓮縣秀林鄉,景美村,加灣106號,100,是,否,121.6067,24.0825,47.3150891437482,53.928958892822266,46.34183156733047,9,無淹水(SAR無資料),low
北三棧社區活動中心,花蓮縣新城鄉,順安村,順安52-2號,35,是,否,121.621,24.1057,12.329502772462362,12.918183326721191,2.9789915508517786,9,無淹水(SAR無資料),low
順安農宅示範中心,花蓮縣新城鄉,順安村,草林158號,23,是,否,121.6365,24.1172,15.44749870788106,7.739382743835449,5.007235509573543,9,無淹水(SAR無資料),low
秀林國小收容所,花蓮縣秀林鄉,秀林村,秀林路76號,100,是,否,121.6244,24.118,54.64039159427461,58.75223159790039,40.62025781507685,9,無淹水(SAR無資料),low
禪光育幼院,花蓮縣新城鄉,新城村,仁愛路2巷172號,105,是,否,121.6497,24.1257,16.777234698315056,16.98651695251465,3.614592386634495,9,無淹水(SAR無資料),low
天主教聲遠之家,花蓮縣新城鄉,新城村,博愛路31號,53,是,否,121.6513,24.1266,15.086209178457455,16.98651695251465,4.0179216373649975,9,無淹水(SAR無資料),low
新城社區活動中心,花蓮縣新城鄉,新城村,博愛路66號,23,是,否,121.6502,24.1288,16.8153830422079,16.98651695251465,4.176377221991437,9,無淹水(SAR無資料),low
興田社區活動中心,花蓮縣新城鄉,新城村,新興1街62號,45,是,否,121.6452,24.1301,23.470336727220182,17.960987091064453,4.295844183854561,9,無淹水(SAR無資料),low
富世活動中心,花蓮縣秀林鄉,富世村,97號,100,是,否,121.6277,24.1473,87.57700055414277,70.42852783203125,52.449727904370725,9,無淹水(SAR無資料),low
崇德國小收容所,花蓮縣秀林鄉,崇德村,72號,100,是,否,121.6524,24.162,52.22018405849949,62.16361618041992,45.53841626652223,9,無淹水(SAR無資料),low
和平活動中心,花蓮縣秀林鄉,和平村,三鄰108號,100,是,否,121.7483,24.3083,34.33103307670613,46.29084777832031,30.48057136765008,9,無淹水(SAR無資料),low
